"topic_id","topic_key","topic_name","group_id"
"182","esl","English as a Second Language","25605437"
"182","esl","English as a Second Language","25610109"
"182","esl","English as a Second Language","25625764"
"182","esl","English as a Second Language","25648965"
"182","esl","English as a Second Language","25717183"
"182","esl","English as a Second Language","25935692"
"182","esl","English as a Second Language","25935727"
"182","esl","English as a Second Language","25989508"
"182","esl","English as a Second Language","26225063"
"182","esl","English as a Second Language","26277733"
"182","esl","English as a Second Language","26285736"
"182","esl","English as a Second Language","26344309"
"182","esl","English as a Second Language","26364471"
"182","esl","English as a Second Language","26374655"
"183","spanish","Spanish Language","145874"
"183","spanish","Spanish Language","145951"
"183","spanish","Spanish Language","145990"
"183","spanish","Spanish Language","317507"
"183","spanish","Spanish Language","407046"
"183","spanish","Spanish Language","784190"
"183","spanish","Spanish Language","1043505"
"183","spanish","Spanish Language","1190662"
"183","spanish","Spanish Language","1285233"
"183","spanish","Spanish Language","1329414"
"183","spanish","Spanish Language","1336772"
"183","spanish","Spanish Language","1390154"
"183","spanish","Spanish Language","1397293"
"183","spanish","Spanish Language","1447085"
"183","spanish","Spanish Language","1458564"
"183","spanish","Spanish Language","1461999"
"183","spanish","Spanish Language","1503645"
"183","spanish","Spanish Language","1549627"
"183","spanish","Spanish Language","1582016"
"183","spanish","Spanish Language","1600425"
"183","spanish","Spanish Language","1603918"
"183","spanish","Spanish Language","1656046"
"183","spanish","Spanish Language","1678067"
"183","spanish","Spanish Language","2905712"
"183","spanish","Spanish Language","3113412"
"183","spanish","Spanish Language","3324842"
"183","spanish","Spanish Language","3761632"
"183","spanish","Spanish Language","3994252"
"183","spanish","Spanish Language","4207412"
"183","spanish","Spanish Language","4218012"
"183","spanish","Spanish Language","4380052"
"183","spanish","Spanish Language","4442932"
"183","spanish","Spanish Language","5912252"
"183","spanish","Spanish Language","6112602"
"183","spanish","Spanish Language","6877022"
"183","spanish","Spanish Language","7430712"
"183","spanish","Spanish Language","8056592"
"183","spanish","Spanish Language","8552732"
"183","spanish","Spanish Language","10320182"
"183","spanish","Spanish Language","10930182"
"183","spanish","Spanish Language","12701812"
"183","spanish","Spanish Language","13392672"
"183","spanish","Spanish Language","13573382"
"183","spanish","Spanish Language","13783112"
"183","spanish","Spanish Language","14383892"
"183","spanish","Spanish Language","16290192"
"183","spanish","Spanish Language","16549312"
"183","spanish","Spanish Language","16904112"
"183","spanish","Spanish Language","18198737"
"183","spanish","Spanish Language","18312080"
"183","spanish","Spanish Language","18327968"
"183","spanish","Spanish Language","18349566"
"183","spanish","Spanish Language","18405774"
"183","spanish","Spanish Language","18503921"
"183","spanish","Spanish Language","18560370"
"183","spanish","Spanish Language","18614680"
"183","spanish","Spanish Language","18685601"
"183","spanish","Spanish Language","18732367"
"183","spanish","Spanish Language","18763928"
"183","spanish","Spanish Language","18933903"
"183","spanish","Spanish Language","18977424"
"183","spanish","Spanish Language","19139960"
"183","spanish","Spanish Language","19150042"
"183","spanish","Spanish Language","19222637"
"183","spanish","Spanish Language","19375260"
"183","spanish","Spanish Language","19419998"
"183","spanish","Spanish Language","19595779"
"183","spanish","Spanish Language","19721308"
"183","spanish","Spanish Language","19775200"
"183","spanish","Spanish Language","19965315"
"183","spanish","Spanish Language","20018772"
"183","spanish","Spanish Language","20071454"
"183","spanish","Spanish Language","20072933"
"183","spanish","Spanish Language","20129931"
"183","spanish","Spanish Language","20199341"
"183","spanish","Spanish Language","20290736"
"183","spanish","Spanish Language","20304536"
"183","spanish","Spanish Language","20326072"
"183","spanish","Spanish Language","20451277"
"183","spanish","Spanish Language","20690299"
"183","spanish","Spanish Language","20809820"
"183","spanish","Spanish Language","20864049"
"183","spanish","Spanish Language","21557275"
"183","spanish","Spanish Language","21575251"
"183","spanish","Spanish Language","21661018"
"183","spanish","Spanish Language","21971502"
"183","spanish","Spanish Language","22114649"
"183","spanish","Spanish Language","22139289"
"183","spanish","Spanish Language","22280812"
"183","spanish","Spanish Language","22809677"
"183","spanish","Spanish Language","22906930"
"183","spanish","Spanish Language","23354263"
"183","spanish","Spanish Language","23368554"
"183","spanish","Spanish Language","23369970"
"183","spanish","Spanish Language","23803997"
"183","spanish","Spanish Language","24427351"
"183","spanish","Spanish Language","24588551"
"183","spanish","Spanish Language","24847874"
"183","spanish","Spanish Language","24864963"
"183","spanish","Spanish Language","25194246"
"183","spanish","Spanish Language","25194395"
"183","spanish","Spanish Language","25435433"
"183","spanish","Spanish Language","25930415"
"183","spanish","Spanish Language","25960697"
"183","spanish","Spanish Language","25989508"
"183","spanish","Spanish Language","25995127"
"183","spanish","Spanish Language","26062130"
"183","spanish","Spanish Language","26157712"
"183","spanish","Spanish Language","26234228"
"183","spanish","Spanish Language","26277733"
"183","spanish","Spanish Language","26344309"
"184","italian","Italian Language","85362"
"184","italian","Italian Language","85422"
"184","italian","Italian Language","85450"
"184","italian","Italian Language","196664"
"184","italian","Italian Language","415443"
"184","italian","Italian Language","602763"
"184","italian","Italian Language","726051"
"184","italian","Italian Language","1329414"
"184","italian","Italian Language","1582016"
"184","italian","Italian Language","1600425"
"184","italian","Italian Language","1690232"
"184","italian","Italian Language","1831521"
"184","italian","Italian Language","2376321"
"184","italian","Italian Language","3324842"
"184","italian","Italian Language","3761632"
"184","italian","Italian Language","4218012"
"184","italian","Italian Language","4252512"
"184","italian","Italian Language","8047592"
"184","italian","Italian Language","8552732"
"184","italian","Italian Language","10320182"
"184","italian","Italian Language","10930182"
"184","italian","Italian Language","11346482"
"184","italian","Italian Language","11688322"
"184","italian","Italian Language","12051672"
"184","italian","Italian Language","13080582"
"184","italian","Italian Language","13392672"
"184","italian","Italian Language","13573382"
"184","italian","Italian Language","16904112"
"184","italian","Italian Language","17807312"
"184","italian","Italian Language","18366468"
"184","italian","Italian Language","18546222"
"184","italian","Italian Language","18593339"
"184","italian","Italian Language","18614680"
"184","italian","Italian Language","19419998"
"184","italian","Italian Language","20158945"
"184","italian","Italian Language","20199341"
"184","italian","Italian Language","21575251"
